country	total cases	new cases	total deaths	new deaths
China	80967	39	3248	3
Italy	47021	5986	4032	627
Spain	21571	3494	1093	262
Germany	19848	4528	68	24
Iran	19644	1237	1433	149
USA	19383	5594	256	49
France	12612	1617	450	78
S. Korea	8652	87	94	3
Switzerland	5615	1393	56	13
UK	3983	714	177	33
Netherlands	2994	534	106	30
Austria	2649	470	6	
Belgium	2257	462	37	16
Norway	1959	169	7	
Sweden	1639	200	16	5
Denmark	1255	104	9	3
Canada	1087	214	12	
Malaysia	1030	130	3	1
Portugal	1020	234	6	2
Japan	1007	64	35	2
Brazil	970	330	11	4
Australia	928	172	7	
Czechia	833	139		
Diamond Princess	712		8	1
Israel	705	28	1	1
Ireland	683	126	3	
Turkey	670	311	9	5
Pakistan	501	47	3	1
Greece	495	31	10	4
Luxembourg	484	149	5	1
Qatar	470	10		
Finland	450	50		
Chile	434	92		
Ecuador	426	166	7	4
Poland	425	70	5	
Iceland	409	79		
Singapore	385	40		
Indonesia	369	60	32	7
Saudi Arabia	344	70		
Slovenia	341	22	1	
Thailand	322	50	1	
Romania	308	31		
Bahrain	298	19	1	
Egypt	285	29	8	1
Estonia	283	16		
Peru	263	29	4	3
Hong Kong	256	48	4	
Russia	253	54	1	
India	249	55	5	1
Philippines	230	13	18	1
Iraq	208	16	17	4
South Africa	202	52		
Panama	200	63	1	
Lebanon	177	20	4	
Mexico	164	46	1	
Kuwait	159	11		
Argentina	158	30	3	
San Marino	151	7	14	
Colombia	145	37		
UAE	140		2	2
Slovakia	137	13		
Armenia	136	14		
Taiwan	135	27	2	1
Serbia	135	32	1	1
Croatia	130	20	1	
Bulgaria	127	20	3	
Costa Rica	113	26	2	1
Latvia	111	25		
Uruguay	110	31		
Algeria	94	4	11	2
Vietnam	91	6		
Bosnia and Herzegovina	89	25		
Morocco	86	23	3	1
Hungary	85	12	4	3
Jordan	85	16		
Faeroe Islands	80	8		
Brunei	78	5		
North Macedonia	76	26		
Andorra	75	1		
Cyprus	75	8		
Sri Lanka	73	13		
Dominican Republic	72	38	2	
Albania	70	6	2	
Belarus	69	18		
Moldova	66	17	1	
Venezuela	65	23		
Malta	64	11		
Lithuania	63	15		
Tunisia	54	15	1	
Kazakhstan	52	8		
New Zealand	52	24		
Guadeloupe	51	18	1	1
Cambodia	51	14		
Oman	48			
Palestine	48	1		
Senegal	47	11		
Azerbaijan	44		1	
Georgia	44	4		
Ukraine	41	15	3	
Burkina Faso	40	7	1	
Réunion	38	10		
Uzbekistan	33	10		
Martinique	32	9	1	
Liechtenstein	28			
Cameroon	27	14		
Afghanistan	24	2		
Honduras	24	12		
Cuba	21	10	1	
Bangladesh	20	2	1	
Jamaica	19	4	1	
DRC	18	4		
Paraguay	18	5		
Macao	17			
Rwanda	17	6		
Bolivia	16	1		
Ghana	16	5		
Guyana	15	10	1	
French Guiana	15			
Guam	14	2		
Montenegro	14	1		
Puerto Rico	14	8		
Maldives	13			
Guatemala	12	3	1	
Nigeria	12			
Channel Islands	12	1		
Mauritius	12	5		
Monaco	11	1		
French Polynesia	11	5		
Gibraltar	10			
Ivory Coast	9			
Ethiopia	9	2		
Togo	9	8		
Trinidad and Tobago	9			
Kenya	7			
Mayotte	7	3		
Seychelles	7	1		
Barbados	6	1		
Equatorial Guinea	6			
Kyrgyzstan	6	3		
Mongolia	6			
Tanzania	6			
Aruba	5			
Gabon	4	1	1	1
Bahamas	4	1		
Saint Martin	4	1		
Suriname	4	3		
Cayman Islands	3		1	
Curaçao	3		1	
CAR	3	2		
Congo	3			
Madagascar	3	3		
Namibia	3			
St. Barth	3			
U.S. Virgin Islands	3			
Sudan	2		1	
Benin	2			
Bermuda	2			
Bhutan	2	1		
Greenland	2			
Guinea	2	1		
Haiti	2	2		
Isle of Man	2	1		
Liberia	2			
Mauritania	2			
New Caledonia	2			
Nicaragua	2	1		
Saint Lucia	2			
Zambia	2			
Nepal	1			
Angola	1	1		
Antigua and Barbuda	1			
Cabo Verde	1	1		
Chad	1			
Djibouti	1			
El Salvador	1			
Fiji	1			
Gambia	1			
Vatican City	1			
Montserrat	1			
Niger	1			
Papua New Guinea	1	1		
St. Vincent Grenadines	1			
Sint Maarten	1			
Somalia	1			
Eswatini	1			
Zimbabwe	1	1		
